2018-03-01 13:29:49.122016 UTC | [experiment_2018_03_01_13_29_45_0001] Populating workers...
2018-03-01 13:29:51.924059 UTC | [experiment_2018_03_01_13_29_45_0001] Populated
2018-03-01 13:29:55.014813 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #0 | Training started
2018-03-01 13:29:55.413749 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #0 | Training finished
2018-03-01 13:29:55.414177 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #1 | Training started
2018-03-01 13:29:55.803557 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #1 | Training finished
2018-03-01 13:29:55.803983 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #2 | Training started
2018-03-01 13:29:56.180252 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #2 | Training finished
2018-03-01 13:29:56.180701 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #3 | Training started
2018-03-01 13:29:56.551892 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #3 | Training finished
2018-03-01 13:29:56.552254 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #4 | Training started
2018-03-01 13:29:56.989673 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #4 | Training finished
2018-03-01 13:29:56.990072 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #5 | Training started
2018-03-01 13:29:57.358184 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #5 | Training finished
2018-03-01 13:29:57.358638 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #6 | Training started
2018-03-01 13:29:57.732282 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #6 | Training finished
2018-03-01 13:29:57.732675 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #7 | Training started
2018-03-01 13:29:58.151163 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #7 | Training finished
2018-03-01 13:29:58.151701 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #8 | Training started
2018-03-01 13:29:58.525741 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #8 | Training finished
2018-03-01 13:29:58.526127 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #9 | Training started
2018-03-01 13:29:59.069522 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #9 | Training finished
2018-03-01 13:29:59.070696 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #9 | Collecting samples for evaluation
2018-03-01 13:30:03.006645 UTC | -----------------------  ------------
2018-03-01 13:42:09.306809 UTC | AveragePolicySurr          1.16397
2018-03-01 13:42:09.307643 UTC | AverageQ                  -1.22963
2018-03-01 13:42:09.308485 UTC | AverageAbsQ                1.29012
2018-03-01 13:42:09.309409 UTC | AverageY                  -1.22933
2018-03-01 13:42:09.310335 UTC | AverageAbsY                1.31233
2018-03-01 13:42:09.311254 UTC | AverageAbsQYDiff           0.125413
2018-03-01 13:42:09.312182 UTC | AverageAction              0.76372
2018-03-01 13:42:09.313781 UTC | PolicyRegParamNorm        27.8624
2018-03-01 13:42:09.314701 UTC | QFunRegParamNorm           9.44044
2018-03-01 13:42:09.315593 UTC | AverageForwardProgress     1.93085
2018-03-01 13:42:09.316516 UTC | MaxForwardProgress         1.93085
2018-03-01 13:42:09.317443 UTC | MinForwardProgress         1.93085
2018-03-01 13:42:09.318319 UTC | StdForwardProgress         2.22045e-16
2018-03-01 13:42:09.319026 UTC | -----------------------  -------------
2018-03-01 13:42:09.319729 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #21 | Training started
2018-03-01 13:43:10.982213 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #21 | Training finished
2018-03-01 13:43:10.983225 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #21 | Collecting samples for evaluation
2018-03-01 13:43:16.225146 UTC | -----------------------  -------------
2018-03-01 13:43:16.226805 UTC | Epoch                     21
2018-03-01 13:43:16.227674 UTC | AverageReturn            -10
2018-03-01 13:43:16.228507 UTC | StdReturn                  0
2018-03-01 13:43:16.229372 UTC | MaxReturn                -10
2018-03-01 13:43:16.230135 UTC | MinReturn                -10
2018-03-01 13:43:16.230926 UTC | AverageEsReturn          -18.24
2018-03-01 13:43:16.231918 UTC | StdEsReturn               12.0442
2018-03-01 13:43:16.232722 UTC | MaxEsReturn               -4
2018-03-01 13:43:16.233530 UTC | MinEsReturn              -62
2018-03-01 13:43:16.234302 UTC | AverageDiscountedReturn  -10.0798
2018-03-01 13:43:16.235135 UTC | AverageQLoss               0.0451271
2018-03-01 13:43:16.235945 UTC | AveragePolicySurr          1.05094
2018-03-01 13:43:16.236747 UTC | AverageQ                  -1.23593
2018-03-01 13:43:16.237655 UTC | AverageAbsQ                1.3037
2018-03-01 13:43:16.238486 UTC | AverageY                  -1.23558
2018-03-01 13:43:16.239531 UTC | AverageAbsY                1.32518
2018-03-01 13:43:16.240709 UTC | AverageAbsQYDiff           0.132626
2018-03-01 13:43:16.241756 UTC | AverageAction              0.943318
2018-03-01 13:43:16.242614 UTC | PolicyRegParamNorm        27.9493
2018-03-01 13:43:16.243498 UTC | QFunRegParamNorm           9.632
2018-03-01 13:43:16.244363 UTC | AverageForwardProgress     0.837483
2018-03-01 13:43:16.245270 UTC | MaxForwardProgress         0.837483
2018-03-01 13:43:16.246175 UTC | MinForwardProgress         0.837483
2018-03-01 13:43:16.247096 UTC | StdForwardProgress         1.11022e-16
2018-03-01 13:43:16.247945 UTC | -----------------------  -------------
2018-03-01 13:43:16.249138 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #22 | Training started
2018-03-01 13:44:17.976721 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #22 | Training finished
2018-03-01 13:44:17.977735 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #22 | Collecting samples for evaluation
2018-03-01 13:44:23.210968 UTC | -----------------------  -----------
2018-03-01 13:44:23.213012 UTC | Epoch                     22
2018-03-01 13:44:23.214144 UTC | AverageReturn            -12
2018-03-01 13:44:23.215037 UTC | StdReturn                  0
2018-03-01 13:44:23.215886 UTC | MaxReturn                -12
2018-03-01 13:44:23.217971 UTC | MinReturn                -12
2018-03-01 13:44:23.218843 UTC | AverageEsReturn          -24
2018-03-01 13:44:23.219676 UTC | StdEsReturn               13.6116
2018-03-01 13:44:23.220510 UTC | MaxEsReturn               -2
2018-03-01 13:44:23.221422 UTC | MinEsReturn              -58
2018-03-01 13:44:23.222289 UTC | AverageDiscountedReturn  -11.979
2018-03-01 13:44:23.223135 UTC | AverageQLoss               0.0471613
2018-03-01 13:44:23.223941 UTC | AveragePolicySurr          0.812782
2018-03-01 13:44:23.224802 UTC | AverageQ                  -1.08678
2018-03-01 13:44:23.225676 UTC | AverageAbsQ                1.18322
2018-03-01 13:44:23.226569 UTC | AverageY                  -1.08541
2018-03-01 13:44:23.227470 UTC | AverageAbsY                1.20352
2018-03-01 13:44:23.228362 UTC | AverageAbsQYDiff           0.140409
2018-03-01 13:44:23.229226 UTC | AverageAction              1
2018-03-01 13:44:23.230969 UTC | PolicyRegParamNorm        28.0036
2018-03-01 13:44:23.231914 UTC | QFunRegParamNorm           9.79972
2018-03-01 13:44:23.232766 UTC | AverageForwardProgress     0
2018-03-01 13:44:23.233623 UTC | MaxForwardProgress         0
2018-03-01 13:44:23.234438 UTC | MinForwardProgress         0
2018-03-01 13:44:23.235056 UTC | StdForwardProgress         0
2018-03-01 13:44:23.235791 UTC | -----------------------  -----------
2018-03-01 13:44:23.236475 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #23 | Training started
2018-03-01 13:45:24.756564 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #23 | Training finished
2018-03-01 13:45:24.757548 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #23 | Collecting samples for evaluation
2018-03-01 13:45:29.788397 UTC | -----------------------  -----------
2018-03-01 13:45:29.790210 UTC | Epoch                     23
2018-03-01 13:45:29.791082 UTC | AverageReturn            -32
2018-03-01 13:45:29.792007 UTC | StdReturn                  0
2018-03-01 13:45:29.792830 UTC | MaxReturn                -32
2018-03-01 13:45:29.793653 UTC | MinReturn                -32
2018-03-01 13:45:29.794458 UTC | AverageEsReturn          -20.5263
2018-03-01 13:45:29.795270 UTC | StdEsReturn               14.1584
2018-03-01 13:45:29.796030 UTC | MaxEsReturn               -2
2018-03-01 13:45:29.796797 UTC | MinEsReturn              -64
2018-03-01 13:45:29.797614 UTC | AverageDiscountedReturn  -29.8857
2018-03-01 13:45:29.798381 UTC | AverageQLoss               0.0479315
2018-03-01 13:45:29.799148 UTC | AveragePolicySurr          0.732017
2018-03-01 13:45:29.799989 UTC | AverageQ                  -0.911964
2018-03-01 13:45:29.800842 UTC | AverageAbsQ                1.0123
2018-03-01 13:45:29.801664 UTC | AverageY                  -0.910201
2018-03-01 13:45:29.802465 UTC | AverageAbsY                1.03585
2018-03-01 13:45:29.803265 UTC | AverageAbsQYDiff           0.136614
2018-03-01 13:45:29.804071 UTC | AverageAction              1
2018-03-01 13:45:29.804834 UTC | PolicyRegParamNorm        28.0468
2018-03-01 13:45:29.805755 UTC | QFunRegParamNorm           9.92026
2018-03-01 13:45:29.806568 UTC | AverageForwardProgress     0
2018-03-01 13:45:29.807417 UTC | MaxForwardProgress         0
2018-03-01 13:45:29.808245 UTC | MinForwardProgress         0
2018-03-01 13:45:29.809144 UTC | StdForwardProgress         0
2018-03-01 13:45:29.809990 UTC | -----------------------  -----------
2018-03-01 13:45:29.811328 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #24 | Training started
2018-03-01 13:46:31.444475 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #24 | Training finished
2018-03-01 13:46:31.445548 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #24 | Collecting samples for evaluation
2018-03-01 13:46:36.101972 UTC | -----------------------  -----------
2018-03-01 13:46:36.103706 UTC | Epoch                     24
2018-03-01 13:46:36.104603 UTC | AverageReturn            -40
2018-03-01 13:46:36.105444 UTC | StdReturn                  0
2018-03-01 13:46:36.106248 UTC | MaxReturn                -40
2018-03-01 13:46:36.107054 UTC | MinReturn                -40
2018-03-01 13:46:36.107901 UTC | AverageEsReturn          -20.5714
2018-03-01 13:46:36.108690 UTC | StdEsReturn               12.4457
2018-03-01 13:46:36.109506 UTC | MaxEsReturn               -2
2018-03-01 13:46:36.110326 UTC | MinEsReturn              -48
2018-03-01 13:46:36.111141 UTC | AverageDiscountedReturn  -36.5889
2018-03-01 13:46:36.111939 UTC | AverageQLoss               0.0475947
2018-03-01 13:46:36.112710 UTC | AveragePolicySurr          0.72517
2018-03-01 13:46:36.113614 UTC | AverageQ                  -0.849719
2018-03-01 13:46:36.114469 UTC | AverageAbsQ                0.938974
2018-03-01 13:46:36.115433 UTC | AverageY                  -0.848694
2018-03-01 13:46:36.117239 UTC | AverageAbsY                0.960987
2018-03-01 13:46:36.118044 UTC | AverageAbsQYDiff           0.133859
2018-03-01 13:46:36.118804 UTC | AverageAction              1
2018-03-01 13:46:36.119572 UTC | PolicyRegParamNorm        28.0782
2018-03-01 13:46:36.120383 UTC | QFunRegParamNorm          10.0236
2018-03-01 13:46:36.121209 UTC | AverageForwardProgress     0
2018-03-01 13:46:36.122073 UTC | MaxForwardProgress         0
2018-03-01 13:46:36.122868 UTC | MinForwardProgress         0
2018-03-01 13:46:36.123674 UTC | StdForwardProgress         0
2018-03-01 13:46:36.124536 UTC | -----------------------  -----------
2018-03-01 13:46:36.125514 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #25 | Training started
2018-03-01 13:47:37.648328 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #25 | Training finished
2018-03-01 13:47:37.649424 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #25 | Collecting samples for evaluation
2018-03-01 13:47:42.943451 UTC | -----------------------  -----------
2018-03-01 13:47:42.945177 UTC | Epoch                     25
2018-03-01 13:47:42.946081 UTC | AverageReturn             -8
2018-03-01 13:47:42.946914 UTC | StdReturn                  0
2018-03-01 13:47:42.947684 UTC | MaxReturn                 -8
2018-03-01 13:47:42.948497 UTC | MinReturn                 -8
2018-03-01 13:47:42.949391 UTC | AverageEsReturn          -21.3056
2018-03-01 13:47:42.950219 UTC | StdEsReturn               14.2016
2018-03-01 13:47:42.951006 UTC | MaxEsReturn               -2
2018-03-01 13:47:42.951757 UTC | MinEsReturn              -60
2018-03-01 13:47:42.952512 UTC | AverageDiscountedReturn   -8.16138
2018-03-01 13:47:42.953393 UTC | AverageQLoss               0.0464253
2018-03-01 13:47:42.954185 UTC | AveragePolicySurr          0.740273
2018-03-01 13:47:42.954998 UTC | AverageQ                  -0.841025
2018-03-01 13:47:42.955830 UTC | AverageAbsQ                0.912036
2018-03-01 13:47:42.956690 UTC | AverageY                  -0.83987
2018-03-01 13:47:42.957545 UTC | AverageAbsY                0.935055
2018-03-01 13:47:42.958387 UTC | AverageAbsQYDiff           0.128277
2018-03-01 13:47:42.959229 UTC | AverageAction              1
2018-03-01 13:47:42.960035 UTC | PolicyRegParamNorm        28.1051
2018-03-01 13:47:42.961010 UTC | QFunRegParamNorm          10.0983
2018-03-01 13:47:42.961837 UTC | AverageForwardProgress     0
2018-03-01 13:47:42.962675 UTC | MaxForwardProgress         0
2018-03-01 13:47:42.963512 UTC | MinForwardProgress         0
2018-03-01 13:47:42.964320 UTC | StdForwardProgress         0
2018-03-01 13:47:42.965188 UTC | -----------------------  -----------
2018-03-01 13:47:42.966325 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #26 | Training started
2018-03-01 13:48:44.677588 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #26 | Training finished
2018-03-01 13:48:44.678599 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #26 | Collecting samples for evaluation
2018-03-01 13:48:50.011491 UTC | -----------------------  -----------
2018-03-01 13:48:50.013140 UTC | Epoch                     26
2018-03-01 13:48:50.013987 UTC | AverageReturn            -10
2018-03-01 13:48:50.014838 UTC | StdReturn                  0
2018-03-01 13:48:50.015717 UTC | MaxReturn                -10
2018-03-01 13:48:50.016564 UTC | MinReturn                -10
2018-03-01 13:48:50.017369 UTC | AverageEsReturn          -21.3521
2018-03-01 13:48:50.018130 UTC | StdEsReturn               13.1332
2018-03-01 13:48:50.018991 UTC | MaxEsReturn               -2
2018-03-01 13:48:50.019841 UTC | MinEsReturn              -52
2018-03-01 13:48:50.020826 UTC | AverageDiscountedReturn  -10.0798
2018-03-01 13:48:50.021958 UTC | AverageQLoss               0.0449365
2018-03-01 13:48:50.023042 UTC | AveragePolicySurr          0.74317
2018-03-01 13:48:50.024023 UTC | AverageQ                  -0.839649
2018-03-01 13:48:50.024839 UTC | AverageAbsQ                0.902318
2018-03-01 13:48:50.025700 UTC | AverageY                  -0.839092
2018-03-01 13:48:50.026992 UTC | AverageAbsY                0.924535
2018-03-01 13:48:50.027877 UTC | AverageAbsQYDiff           0.124936
2018-03-01 13:48:50.028741 UTC | AverageAction              1
2018-03-01 13:48:50.029833 UTC | PolicyRegParamNorm        28.1315
2018-03-01 13:48:50.031669 UTC | QFunRegParamNorm          10.1874
2018-03-01 13:48:50.032608 UTC | AverageForwardProgress     0
2018-03-01 13:48:50.033337 UTC | MaxForwardProgress         0
2018-03-01 13:48:50.034291 UTC | MinForwardProgress         0
2018-03-01 13:48:50.034762 UTC | StdForwardProgress         0
2018-03-01 13:48:50.036344 UTC | -----------------------  -----------
2018-03-01 13:48:50.037881 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #27 | Training started
2018-03-01 13:49:52.348494 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #27 | Training finished
2018-03-01 13:49:52.349460 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #27 | Collecting samples for evaluation
2018-03-01 13:49:57.897700 UTC | -----------------------  -----------
2018-03-01 13:49:57.898311 UTC | Epoch                     27
2018-03-01 13:49:57.899328 UTC | AverageReturn             -6
2018-03-01 13:49:57.900530 UTC | StdReturn                  0
2018-03-01 13:49:57.901986 UTC | MaxReturn                 -6
2018-03-01 13:49:57.902652 UTC | MinReturn                 -6
2018-03-01 13:49:57.903307 UTC | AverageEsReturn          -25.1471
2018-03-01 13:49:57.903972 UTC | StdEsReturn               14.06
2018-03-01 13:49:57.904724 UTC | MaxEsReturn               -2
2018-03-01 13:49:57.905357 UTC | MinEsReturn              -56
2018-03-01 13:49:57.905987 UTC | AverageDiscountedReturn   -6.22361
2018-03-01 13:49:57.906749 UTC | AverageQLoss               0.0454482
2018-03-01 13:49:57.907410 UTC | AveragePolicySurr          0.769058
2018-03-01 13:49:57.908060 UTC | AverageQ                  -0.854245
2018-03-01 13:49:57.908315 UTC | AverageAbsQ                0.904651
2018-03-01 13:49:57.909157 UTC | AverageY                  -0.853425
2018-03-01 13:49:57.909789 UTC | AverageAbsY                0.930025
2018-03-01 13:49:57.910528 UTC | AverageAbsQYDiff           0.121707
2018-03-01 13:49:57.911143 UTC | AverageAction              1
2018-03-01 13:49:57.911866 UTC | PolicyRegParamNorm        28.1522
2018-03-01 13:49:57.912817 UTC | QFunRegParamNorm          10.2824
2018-03-01 13:49:57.913161 UTC | AverageForwardProgress     0
2018-03-01 13:49:57.914050 UTC | MaxForwardProgress         0
2018-03-01 13:49:57.914654 UTC | MinForwardProgress         0
2018-03-01 13:49:57.915242 UTC | StdForwardProgress         0
2018-03-01 13:49:57.915479 UTC | -----------------------  -----------
2018-03-01 13:49:57.916643 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #28 | Training started
2018-03-01 13:51:00.260380 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #28 | Training finished
2018-03-01 13:51:00.260977 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #28 | Collecting samples for evaluation
2018-03-01 13:51:05.254722 UTC | -----------------------  -----------
2018-03-01 13:51:05.256601 UTC | Epoch                      28
2018-03-01 13:51:05.259198 UTC | AverageReturn             -38
2018-03-01 13:51:05.261035 UTC | StdReturn                   0
2018-03-01 13:51:05.261933 UTC | MaxReturn                 -38
2018-03-01 13:51:05.262770 UTC | MinReturn                 -38
2018-03-01 13:51:05.263612 UTC | AverageEsReturn           -20.5
2018-03-01 13:51:05.264419 UTC | StdEsReturn                16.9665
2018-03-01 13:51:05.265249 UTC | MaxEsReturn                -2
2018-03-01 13:51:05.266175 UTC | MinEsReturn              -102
2018-03-01 13:51:05.267010 UTC | AverageDiscountedReturn   -34.9383
2018-03-01 13:51:05.267815 UTC | AverageQLoss                0.044403
2018-03-01 13:51:05.268598 UTC | AveragePolicySurr           0.788839
2018-03-01 13:51:05.269475 UTC | AverageQ                   -0.869382
2018-03-01 13:51:05.270256 UTC | AverageAbsQ                 0.913773
2018-03-01 13:51:05.271058 UTC | AverageY                   -0.86873
2018-03-01 13:51:05.271899 UTC | AverageAbsY                 0.940765
2018-03-01 13:51:05.272659 UTC | AverageAbsQYDiff            0.118193
2018-03-01 13:51:05.273503 UTC | AverageAction               1
2018-03-01 13:51:05.274364 UTC | PolicyRegParamNorm         28.1741
2018-03-01 13:51:05.275228 UTC | QFunRegParamNorm           10.3422
2018-03-01 13:51:05.276037 UTC | AverageForwardProgress      0
2018-03-01 13:51:05.276910 UTC | MaxForwardProgress          0
2018-03-01 13:51:05.277730 UTC | MinForwardProgress          0
2018-03-01 13:51:05.278564 UTC | StdForwardProgress          0
2018-03-01 13:51:05.279336 UTC | -----------------------  -----------
2018-03-01 13:51:05.280396 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #29 | Training started
2018-03-01 13:52:07.688762 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #29 | Training finished
2018-03-01 13:52:07.690044 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #29 | Collecting samples for evaluation
2018-03-01 13:52:13.279785 UTC | -----------------------  -----------
2018-03-01 13:52:13.280139 UTC | Epoch                     29
2018-03-01 13:52:13.280259 UTC | AverageReturn             -4
2018-03-01 13:52:13.280366 UTC | StdReturn                  0
2018-03-01 13:52:13.280463 UTC | MaxReturn                 -4
2018-03-01 13:52:13.280547 UTC | MinReturn                 -4
2018-03-01 13:52:13.280627 UTC | AverageEsReturn          -18.2278
2018-03-01 13:52:13.280709 UTC | StdEsReturn               14.1814
2018-03-01 13:52:13.280792 UTC | MaxEsReturn                0
2018-03-01 13:52:13.280876 UTC | MinEsReturn              -54
2018-03-01 13:52:13.280960 UTC | AverageDiscountedReturn   -4.26628
2018-03-01 13:52:13.281041 UTC | AverageQLoss               0.0437947
2018-03-01 13:52:13.297333 UTC | AveragePolicySurr          0.787924
2018-03-01 13:52:13.297501 UTC | AverageQ                  -0.882745
2018-03-01 13:52:13.297591 UTC | AverageAbsQ                0.930219
2018-03-01 13:52:13.297674 UTC | AverageY                  -0.882299
2018-03-01 13:52:13.297755 UTC | AverageAbsY                0.956777
2018-03-01 13:52:13.297838 UTC | AverageAbsQYDiff           0.117285
2018-03-01 13:52:13.297919 UTC | AverageAction              0.628193
2018-03-01 13:52:13.297999 UTC | PolicyRegParamNorm        28.1811
2018-03-01 13:52:13.298085 UTC | QFunRegParamNorm          10.4381
2018-03-01 13:52:13.298167 UTC | AverageForwardProgress     0
2018-03-01 13:52:13.298248 UTC | MaxForwardProgress         0
2018-03-01 13:52:13.298330 UTC | MinForwardProgress         0
2018-03-01 13:52:13.298445 UTC | StdForwardProgress         0
2018-03-01 13:52:13.298535 UTC | -----------------------  -----------
2018-03-01 13:52:13.298880 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #30 | Training started
2018-03-01 13:53:15.095027 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #30 | Training finished
2018-03-01 13:53:15.095921 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #30 | Collecting samples for evaluation
2018-03-01 13:53:20.619462 UTC | -----------------------  -----------
2018-03-01 13:53:20.619810 UTC | Epoch                     30
2018-03-01 13:53:20.619946 UTC | AverageReturn             -2
2018-03-01 13:53:20.620028 UTC | StdReturn                  0
2018-03-01 13:53:20.620104 UTC | MaxReturn                 -2
2018-03-01 13:53:20.620183 UTC | MinReturn                 -2
2018-03-01 13:53:20.620258 UTC | AverageEsReturn          -12.5347
2018-03-01 13:53:20.620331 UTC | StdEsReturn               11.0405
2018-03-01 13:53:20.620443 UTC | MaxEsReturn                0
2018-03-01 13:53:20.620521 UTC | MinEsReturn              -46
2018-03-01 13:53:20.620598 UTC | AverageDiscountedReturn   -2.28917
2018-03-01 13:53:20.620675 UTC | AverageQLoss               0.0445954
2018-03-01 13:53:20.620757 UTC | AveragePolicySurr          0.732139
2018-03-01 13:53:20.620863 UTC | AverageQ                  -0.904734
2018-03-01 13:53:20.620953 UTC | AverageAbsQ                0.954737
2018-03-01 13:53:20.621160 UTC | AverageY                  -0.904105
2018-03-01 13:53:20.621255 UTC | AverageAbsY                0.982838
2018-03-01 13:53:20.621349 UTC | AverageAbsQYDiff           0.118024
2018-03-01 13:53:20.621443 UTC | AverageAction              0.637474
2018-03-01 13:53:20.621539 UTC | PolicyRegParamNorm        28.2438
2018-03-01 13:53:20.621628 UTC | QFunRegParamNorm          10.5254
2018-03-01 13:53:20.621711 UTC | AverageForwardProgress     0
2018-03-01 13:53:20.621798 UTC | MaxForwardProgress         0
2018-03-01 13:53:20.622115 UTC | MinForwardProgress         0
2018-03-01 13:53:20.622255 UTC | StdForwardProgress         0
2018-03-01 13:53:20.622347 UTC | -----------------------  -----------
2018-03-01 13:53:20.622665 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #31 | Training started
2018-03-01 13:54:22.994390 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #31 | Training finished
2018-03-01 13:54:22.994612 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #31 | Collecting samples for evaluation
2018-03-01 13:54:28.025533 UTC | -----------------------  -----------
2018-03-01 13:54:28.027457 UTC | Epoch                     31
2018-03-01 13:54:28.028659 UTC | AverageReturn             -2
2018-03-01 13:54:28.029533 UTC | StdReturn                  0
2018-03-01 13:54:28.030366 UTC | MaxReturn                 -2
2018-03-01 13:54:28.031389 UTC | MinReturn                 -2
2018-03-01 13:54:28.032281 UTC | AverageEsReturn          -12.1748
2018-03-01 13:54:28.033199 UTC | StdEsReturn                9.77855
2018-03-01 13:54:28.034023 UTC | MaxEsReturn                0
2018-03-01 13:54:28.035095 UTC | MinEsReturn              -40
2018-03-01 13:54:28.035907 UTC | AverageDiscountedReturn   -2.28917
2018-03-01 13:54:28.036723 UTC | AverageQLoss               0.0438418
2018-03-01 13:54:28.037623 UTC | AveragePolicySurr          0.737892
2018-03-01 13:54:28.038592 UTC | AverageQ                  -0.912181
2018-03-01 13:54:28.039468 UTC | AverageAbsQ                0.965104
2018-03-01 13:54:28.040351 UTC | AverageY                  -0.911665
2018-03-01 13:54:28.041366 UTC | AverageAbsY                0.991726
2018-03-01 13:54:28.042166 UTC | AverageAbsQYDiff           0.117263
2018-03-01 13:54:28.043004 UTC | AverageAction              0.616173
2018-03-01 13:54:28.043985 UTC | PolicyRegParamNorm        28.2992
2018-03-01 13:54:28.044855 UTC | QFunRegParamNorm          10.6182
2018-03-01 13:54:28.045703 UTC | AverageForwardProgress     0
2018-03-01 13:54:28.046339 UTC | MaxForwardProgress         0
2018-03-01 13:54:28.047239 UTC | MinForwardProgress         0
2018-03-01 13:54:28.047670 UTC | StdForwardProgress         0
2018-03-01 13:54:28.048053 UTC | -----------------------  -----------
2018-03-01 13:54:28.049345 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #32 | Training started
2018-03-01 13:55:30.340716 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #32 | Training finished
2018-03-01 13:55:30.341101 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #32 | Collecting samples for evaluation
2018-03-01 13:55:35.381540 UTC | -----------------------  ------------
2018-03-01 13:55:35.383806 UTC | Epoch                      32
2018-03-01 13:55:35.384816 UTC | AverageReturn              -2
2018-03-01 13:55:35.386000 UTC | StdReturn                   0
2018-03-01 13:55:35.386912 UTC | MaxReturn                  -2
2018-03-01 13:55:35.387866 UTC | MinReturn                  -2
2018-03-01 13:55:35.388941 UTC | AverageEsReturn           -13.1957
2018-03-01 13:55:35.389903 UTC | StdEsReturn                37.2501
2018-03-01 13:55:35.390810 UTC | MaxEsReturn                 0
2018-03-01 13:55:35.391739 UTC | MinEsReturn              -358
2018-03-01 13:55:35.392836 UTC | AverageDiscountedReturn    -2.28917
2018-03-01 13:55:35.393728 UTC | AverageQLoss                0.0423449
2018-03-01 13:55:35.394581 UTC | AveragePolicySurr           0.690319
2018-03-01 13:55:35.395475 UTC | AverageQ                   -0.854089
2018-03-01 13:55:35.396390 UTC | AverageAbsQ                 0.92634
2018-03-01 13:55:35.397244 UTC | AverageY                   -0.853533
2018-03-01 13:55:35.398126 UTC | AverageAbsY                 0.951896
2018-03-01 13:55:35.399082 UTC | AverageAbsQYDiff            0.115214
2018-03-01 13:55:35.400039 UTC | AverageAction               0.613772
2018-03-01 13:55:35.400847 UTC | PolicyRegParamNorm         28.3393
2018-03-01 13:55:35.401506 UTC | QFunRegParamNorm           10.758
2018-03-01 13:55:35.402475 UTC | AverageForwardProgress      0
2018-03-01 13:55:35.402904 UTC | MaxForwardProgress          0
2018-03-01 13:55:35.403301 UTC | MinForwardProgress          0
2018-03-01 13:55:35.404355 UTC | StdForwardProgress          0
2018-03-01 13:55:35.404766 UTC | -----------------------  ------------
2018-03-01 13:55:35.405460 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #33 | Training started
2018-03-01 13:56:38.034305 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #33 | Training finished
2018-03-01 13:56:38.035316 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #33 | Collecting samples for evaluation
